targetAnim,audioPos,distPos,visualL,expLab,picR,picL,condLabel,corrAns,targetPos,visualR,pracTrials1a.thisRepN,pracTrials1a.thisTrialN,pracTrials1a.thisN,pracTrials1a.thisIndex,exp1a.thisRepN,exp1a.thisTrialN,exp1a.thisN,exp1a.thisIndex,pressToCont.keys,pressToCont.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,spaceToBegin.keys,spaceToBegin.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,23.3022347096,,,,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,ribbitL.wav,-20,landoltCR.png,prac,duckFront.png,frogFront.png,HinCong,h,20,landoltCTop.png,0,0,0,1,,,,,,,h,0,2.25222325471,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
frog,ribbitR.wav,-20,landoltCL.png,prac,frogFront.png,duckFront.png,Lcong,b,20,landoltCBottom.png,0,1,1,3,,,,,,,b,0,1.91863809727,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,quackL.wav,20,landoltCTop.png,prac,frogFront.png,duckFront.png,Hcong,h,-20,landoltCL.png,0,2,2,0,,,,,,,h,0,1.68485298351,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
frog,wnR.wav,20,landoltCBottom.png,prac,duckFront.png,frogFront.png,LinCongWN,b,-20,landoltCR.png,0,3,3,2,,,,,,,b,0,0.484274557879,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,wnL.wav,20,landoltCBottom.png,prac,frogFront.png,duckFront.png,HcongWN,b,-20,landoltCL.png,0,4,4,4,,,,,,,b,0,0.73434722767,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
,,,,,,,,,,,,,,,,,,,,,,,,space,37.5802308937,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,ribbitR.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HinCong,h,-20,landoltCL.png,,,,,0,0,0,50,,,h,0,0.834434284712,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,quackR.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,Hcong,h,20,landoltCTop.png,,,,,0,1,1,68,,,h,0,0.734145621769,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,wnR.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HcongWN,b,20,landoltCBottom.png,,,,,0,2,2,77,,,b,0,0.734365922021,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,wnR.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HcongWN,b,20,landoltCBottom.png,,,,,0,3,3,61,,,b,0,0.767728029983,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,ribbitL.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,HinCong,b,20,landoltCBottom.png,,,,,0,4,4,62,,,b,0,0.88448312835,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,ribbitL.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,HinCong,b,20,landoltCBottom.png,,,,,0,5,5,46,,,b,0,0.751062188094,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,wnL.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HcongWN,h,-20,landoltCR.png,,,,,0,6,6,1,,,h,0,0.650789287029,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
frog,quackR.wav,20,landoltCTop.png,V1,duckFront.png,frogFront.png,LinCong,h,-20,landoltCR.png,,,,,0,7,7,26,,,h,0,1.13471598312,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,ribbitL.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,HinCong,h,20,landoltCTop.png,,,,,0,8,8,38,,,h,0,1.95176707557,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
frog,ribbitL.wav,20,landoltCTop.png,V1,duckFront.png,frogFront.png,Lcong,h,-20,landoltCR.png,,,,,0,9,9,24,,,h,0,0.617034963972,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,wnL.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HcongWN,h,-20,landoltCR.png,,,,,0,10,10,49,,,h,0,1.18472120655,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,quackL.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,Hcong,h,-20,landoltCL.png,,,,,0,11,11,64,,,h,0,1.05126800935,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,ribbitR.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HinCong,b,-20,landoltCR.png,,,,,0,12,12,42,,,b,0,1.16822691294,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,ribbitL.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,HinCong,b,20,landoltCBottom.png,,,,,0,13,13,78,,,b,0,0.950945256656,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
frog,ribbitR.wav,-20,landoltCL.png,V1,frogFront.png,duckFront.png,Lcong,b,20,landoltCBottom.png,,,,,0,14,14,20,,,b,0,0.834454811877,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
frog,wnL.wav,-20,landoltCR.png,V1,frogFront.png,duckFront.png,LinCongWN,b,20,landoltCBottom.png,,,,,0,15,15,23,,,b,0,0.884487160452,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,wnR.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HcongWN,b,20,landoltCBottom.png,,,,,0,16,16,45,,,b,0,0.550502090278,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,wnL.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HinCongWN,h,20,landoltCTop.png,,,,,0,17,17,55,,,h,0,0.884502189263,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,quackR.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,Hcong,b,20,landoltCBottom.png,,,,,0,18,18,60,,,b,0,0.517552357953,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,quackL.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,Hcong,b,-20,landoltCR.png,,,,,0,19,19,8,,,b,0,0.934289311786,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
frog,ribbitL.wav,20,landoltCBottom.png,V1,duckFront.png,frogFront.png,Lcong,b,-20,landoltCL.png,,,,,0,20,20,16,,,b,0,0.650991626026,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,quackL.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,Hcong,h,-20,landoltCL.png,,,,,0,21,21,48,,,h,0,0.5008736866,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,quackL.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,Hcong,b,-20,landoltCR.png,,,,,0,22,22,56,,,b,0,0.550904568954,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,wnR.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HinCongWN,h,-20,landoltCR.png,,,,,0,23,23,51,,,b,0,1.03461902903,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,ribbitR.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HinCong,b,-20,landoltCR.png,,,,,0,24,24,58,,,b,0,1.18471350888,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,quackL.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,Hcong,h,-20,landoltCL.png,,,,,0,25,25,32,,,h,0,1.18469078239,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,ribbitR.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HinCong,h,-20,landoltCL.png,,,,,0,26,26,2,,,h,0,0.917839371425,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,wnR.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HinCongWN,b,-20,landoltCL.png,,,,,0,27,27,59,,,b,0,0.767713734298,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
frog,wnR.wav,20,landoltCTop.png,V1,duckFront.png,frogFront.png,LinCongWN,h,-20,landoltCL.png,,,,,0,28,28,27,,,h,0,1.03458383965,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,wnL.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HcongWN,h,-20,landoltCR.png,,,,,0,29,29,65,,,h,0,0.734372520034,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,wnR.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HcongWN,h,20,landoltCTop.png,,,,,0,30,30,37,,,h,0,1.01771602529,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
frog,quackL.wav,-20,landoltCL.png,V1,frogFront.png,duckFront.png,LinCong,b,20,landoltCBottom.png,,,,,0,31,31,22,,,b,0,1.33480139071,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,ribbitL.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,HinCong,b,20,landoltCBottom.png,,,,,0,32,32,14,,,b,0,1.05128377129,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
frog,wnR.wav,-20,landoltCR.png,V1,frogFront.png,duckFront.png,LcongWN,h,20,landoltCTop.png,,,,,0,33,33,29,,,h,0,0.600999232061,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,quackR.wav,-20,landoltCR.png,V1,duckFront.png,frogFront.png,Hcong,h,20,landoltCTop.png,,,,,0,34,34,36,,,h,0,1.13469875499,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,ribbitR.wav,20,landoltCBottom.png,V1,frogFront.png,duckFront.png,HinCong,b,-20,landoltCR.png,,,,,0,35,35,10,,,b,0,0.817268826795,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
frog,wnL.wav,20,landoltCBottom.png,V1,duckFront.png,frogFront.png,LcongWN,b,-20,landoltCR.png,,,,,0,36,36,17,,,b,0,0.984570918547,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
frog,wnL.wav,20,landoltCTop.png,V1,duckFront.png,frogFront.png,LcongWN,h,-20,landoltCL.png,,,,,0,37,37,25,,,h,0,0.550897237816,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
frog,wnL.wav,-20,landoltCR.png,V1,frogFront.png,duckFront.png,LinCongWN,h,20,landoltCTop.png,,,,,0,38,38,31,,,h,0,0.633976822661,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,wnR.wav,-20,landoltCL.png,V1,duckFront.png,frogFront.png,HcongWN,h,20,landoltCTop.png,,,,,0,39,39,5,,,h,0,1.13466209936,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
duck,wnR.wav,20,landoltCTop.png,V1,frogFront.png,duckFront.png,HinCongWN,h,-20,landoltCR.png,,,,,0,40,40,35,,,h,0,1.35130778069,,,2020_Mar_04_1424,59.9498311183,duckFrog,001,11,
