targetAnim,audioPos,distPos,visualL,expLab,picR,picL,condLabel,corrAns,targetPos,visualR,pracTrials1a.thisRepN,pracTrials1a.thisTrialN,pracTrials1a.thisN,pracTrials1a.thisIndex,exp1a.thisRepN,exp1a.thisTrialN,exp1a.thisN,exp1a.thisIndex,pressToCont.keys,pressToCont.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,spaceToBegin.keys,spaceToBegin.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,space,6.12179536054,,,,,,2020_Mar_11_1110,59.9503357829,duckFrog,001,16,
duck,quackL.wav,20,landoltCTop.png,prac,frogFront.png,duckFront.png,Hcong,h,-20,landoltCL.png,0,0,0,0,,,,,,,h,0,7.00580848921,,,2020_Mar_11_1110,59.9503357829,duckFrog,001,16,
frog,wnR.wav,20,landoltCBottom.png,prac,duckFront.png,frogFront.png,LinCongWN,b,-20,landoltCR.png,0,1,1,2,,,,,,,h,0,3.01949359182,,,2020_Mar_11_1110,59.9503357829,duckFrog,001,16,
duck,ribbitL.wav,-20,landoltCR.png,prac,duckFront.png,frogFront.png,HinCong,h,20,landoltCTop.png,0,2,2,1,,,,,,,h,0,6.48871988904,,,2020_Mar_11_1110,59.9503357829,duckFrog,001,16,
duck,wnL.wav,20,landoltCBottom.png,prac,frogFront.png,duckFront.png,HcongWN,b,-20,landoltCL.png,0,3,3,4,,,,,,,b,0,3.8364011853,,,2020_Mar_11_1110,59.9503357829,duckFrog,001,16,
frog,ribbitR.wav,-20,landoltCL.png,prac,frogFront.png,duckFront.png,Lcong,b,20,landoltCBottom.png,0,4,4,3,,,,,,,h,0,4.98730497244,,,2020_Mar_11_1110,59.9503357829,duckFrog,001,16,
,,,,,,,,,,,,,,,,,,,,,,,,space,33.6437258346,2020_Mar_11_1110,59.9503357829,duckFrog,001,16,
duck,wnL.wav,30,landoltCTop.png,V1,frogFront.png,duckFront.png,HcongWN,h,-30,landoltCR.png,,,,,0,0,0,65,,,h,0,2.401936383,,,2020_Mar_11_1110,59.9503357829,duckFrog,001,16,
duck,wnR.wav,30,landoltCBottom.png,V1,frogFront.png,duckFront.png,HinCongWN,b,-30,landoltCL.png,,,,,0,1,1,43,,,b,0,1.51831363936,,,2020_Mar_11_1110,59.9503357829,duckFrog,001,16,
duck,quackR.wav,-30,landoltCR.png,V1,duckFront.png,frogFront.png,Hcong,b,30,landoltCBottom.png,,,,,0,2,2,44,,,b,0,1.18453811404,,,2020_Mar_11_1110,59.9503357829,duckFrog,001,16,
