RECORDING_SESSION_LABEL,TRIAL_INDEX,TRIAL_FIXATION_TOTAL,CURRENT_FIX_DURATION,CURRENT_FIX_INDEX,CURRENT_FIX_INTEREST_AREA_ID,CURRENT_FIX_INTEREST_AREA_LABEL,CURRENT_FIX_RUN_DWELL_TIME,CURRENT_FIX_INTEREST_AREA_FIX_COUNT,CURRENT_FIX_INTEREST_AREA_DWELL_TIME,CURRENT_FIX_START,CURRENT_FIX_NEAREST_INTEREST_AREA,CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE,CURRENT_FIX_NEAREST_INTEREST_AREA_LABEL
10,1,6,1330,1,1,fixationIA,1330,1,1330,4,1,0.42,fixationIA
10,1,6,170,2,3,distIA,490,3,490,1410,3,2.21,distIA
10,1,6,108,3,3,distIA,490,3,490,1596,3,2.36,distIA
10,1,6,212,4,3,distIA,490,3,490,1718,3,1.07,distIA
10,1,6,172,5,2,targetIA,766,2,766,2052,2,1,targetIA
10,1,6,594,6,2,targetIA,766,2,766,2238,2,0.37,targetIA
10,2,7,316,1,1,fixationIA,316,1,316,4,1,0.44,fixationIA
10,2,7,314,2,3,distIA,744,3,744,398,3,0.4,distIA
10,2,7,270,3,3,distIA,744,3,744,732,3,1.4,distIA
10,2,7,160,4,3,distIA,744,3,744,1016,3,0.92,distIA
10,2,7,152,5,2,targetIA,844,3,844,1294,2,0.83,targetIA
10,2,7,198,6,2,targetIA,844,3,844,1460,2,0.99,targetIA
10,2,7,494,7,2,targetIA,844,3,844,1678,2,1.35,targetIA
10,3,6,258,1,1,fixationIA,258,1,258,4,1,0.24,fixationIA
10,3,6,36,2,.,.,.,.,.,310,1,8.4,fixationIA
10,3,6,136,3,2,targetIA,1132,4,1132,388,2,2.04,targetIA
10,3,6,196,4,2,targetIA,1132,4,1132,544,2,0.45,targetIA
10,3,6,268,5,2,targetIA,1132,4,1132,756,2,1.03,targetIA
10,3,6,532,6,2,targetIA,1132,4,1132,1040,2,0.49,targetIA
10,4,4,908,1,1,fixationIA,908,1,908,4,1,0.39,fixationIA
10,4,4,380,2,3,distIA,380,1,380,984,3,1.24,distIA
10,4,4,158,3,2,targetIA,680,2,680,1466,2,2.09,targetIA
