,targetAnim,left_anim,right_anim,right_landolt,left_landolt,condition,corrAns,audioPos,repetition,trial_in_rep,trial,trial_idx,key_pressed,reaction_time,date,frameRate,expName,participant,corrCheck
0,frog,duckFront.png,frogFront.png,landoltCTop.png,landoltCL.png,Hcong,h,ribbitR.wav,0.0,13.0,14.0,60.0,h,0.800653280909,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
1,frog,duckFront.png,frogFront.png,landoltCBottom.png,landoltCL.png,Hcong,b,ribbitR.wav,0.0,18.0,19.0,36.0,b,0.800832528126,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
2,frog,frogFront.png,duckFront.png,landoltCR.png,landoltCTop.png,Hcong,h,ribbitL.wav,0.0,23.0,24.0,40.0,h,0.483786008903,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
3,frog,frogFront.png,duckFront.png,landoltCL.png,landoltCBottom.png,Hcong,b,ribbitL.wav,0.0,26.0,27.0,64.0,b,0.850971160631,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
4,frog,duckFront.png,frogFront.png,landoltCBottom.png,landoltCL.png,Hcong,b,ribbitR.wav,0.0,27.0,28.0,68.0,b,0.6672717329060001,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
5,frog,duckFront.png,frogFront.png,landoltCTop.png,landoltCL.png,Hcong,h,ribbitR.wav,0.0,28.0,29.0,44.0,h,0.900986262845,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
6,frog,frogFront.png,duckFront.png,landoltCL.png,landoltCBottom.png,Hcong,b,ribbitL.wav,0.0,33.0,34.0,16.0,b,0.667440349906,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
7,frog,frogFront.png,duckFront.png,landoltCR.png,landoltCTop.png,Hcong,h,ribbitL.wav,0.0,39.0,40.0,72.0,h,0.567407946117,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
8,frog,duckFront.png,frogFront.png,landoltCBottom.png,landoltCL.png,Hcong,b,ribbitR.wav,0.0,40.0,41.0,52.0,b,0.8507816497730001,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
9,frog,duckFront.png,frogFront.png,landoltCBottom.png,landoltCL.png,Hcong,b,ribbitR.wav,0.0,47.0,48.0,20.0,b,0.8343136335019999,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
10,frog,frogFront.png,duckFront.png,landoltCR.png,landoltCTop.png,Hcong,h,ribbitL.wav,0.0,50.0,51.0,56.0,h,0.80091097168,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
11,frog,duckFront.png,frogFront.png,landoltCTop.png,landoltCL.png,Hcong,h,ribbitR.wav,0.0,56.0,57.0,28.0,h,0.8676459160200002,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
12,frog,frogFront.png,duckFront.png,landoltCR.png,landoltCTop.png,Hcong,h,ribbitL.wav,0.0,69.0,70.0,24.0,h,0.784185264623,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
13,frog,duckFront.png,frogFront.png,landoltCTop.png,landoltCL.png,Hcong,h,ribbitR.wav,1.0,6.0,87.0,60.0,h,0.667645989335,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
14,frog,duckFront.png,frogFront.png,landoltCTop.png,landoltCL.png,Hcong,h,ribbitR.wav,1.0,18.0,99.0,76.0,h,0.650734437018,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
15,frog,duckFront.png,frogFront.png,landoltCBottom.png,landoltCL.png,Hcong,b,ribbitR.wav,1.0,25.0,106.0,36.0,b,0.71742686053,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
16,frog,duckFront.png,frogFront.png,landoltCTop.png,landoltCL.png,Hcong,h,ribbitR.wav,1.0,27.0,108.0,44.0,h,0.533977792409,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
17,frog,frogFront.png,duckFront.png,landoltCL.png,landoltCBottom.png,Hcong,b,ribbitL.wav,1.0,34.0,115.0,32.0,b,0.684107774112,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
18,frog,duckFront.png,frogFront.png,landoltCBottom.png,landoltCL.png,Hcong,b,ribbitR.wav,1.0,36.0,117.0,52.0,b,0.6335094770040001,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
19,frog,frogFront.png,duckFront.png,landoltCL.png,landoltCBottom.png,Hcong,b,ribbitL.wav,1.0,43.0,124.0,48.0,b,0.9676244356820001,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
20,frog,duckFront.png,frogFront.png,landoltCBottom.png,landoltCL.png,Hcong,b,ribbitR.wav,1.0,44.0,125.0,68.0,b,0.800394123915,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
21,frog,frogFront.png,duckFront.png,landoltCR.png,landoltCTop.png,Hcong,h,ribbitL.wav,1.0,50.0,131.0,40.0,h,0.650705478882,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
22,frog,frogFront.png,duckFront.png,landoltCR.png,landoltCTop.png,Hcong,h,ribbitL.wav,1.0,53.0,134.0,56.0,h,0.466973060858,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
23,frog,frogFront.png,duckFront.png,landoltCL.png,landoltCBottom.png,Hcong,b,ribbitL.wav,1.0,72.0,153.0,16.0,h,0.834175807409,2020_Feb_26_0910,59.9527072484,duckFrog,2,False
24,frog,frogFront.png,duckFront.png,landoltCR.png,landoltCTop.png,Hcong,h,ribbitL.wav,1.0,75.0,156.0,24.0,h,0.7171398450740001,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
25,frog,frogFront.png,duckFront.png,landoltCL.png,landoltCBottom.png,Hcong,b,ribbitL.wav,1.0,77.0,158.0,64.0,b,0.700237456724,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
26,frog,frogFront.png,duckFront.png,landoltCL.png,landoltCBottom.png,Hcong,b,ribbitL.wav,2.0,2.0,163.0,16.0,b,0.600694042238,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
27,frog,duckFront.png,frogFront.png,landoltCBottom.png,landoltCL.png,Hcong,b,ribbitR.wav,2.0,4.0,165.0,68.0,b,0.600355342016,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
28,frog,duckFront.png,frogFront.png,landoltCTop.png,landoltCL.png,Hcong,h,ribbitR.wav,2.0,7.0,168.0,44.0,h,0.566797625885,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
29,frog,duckFront.png,frogFront.png,landoltCBottom.png,landoltCL.png,Hcong,b,ribbitR.wav,2.0,40.0,201.0,20.0,b,0.683860713558,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
30,frog,frogFront.png,duckFront.png,landoltCL.png,landoltCBottom.png,Hcong,b,ribbitL.wav,2.0,41.0,202.0,32.0,b,0.683871343761,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
31,frog,duckFront.png,frogFront.png,landoltCBottom.png,landoltCL.png,Hcong,b,ribbitR.wav,2.0,45.0,206.0,52.0,b,0.767563293688,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
32,frog,duckFront.png,frogFront.png,landoltCTop.png,landoltCL.png,Hcong,h,ribbitR.wav,2.0,46.0,207.0,76.0,h,0.684143696883,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
33,frog,duckFront.png,frogFront.png,landoltCBottom.png,landoltCL.png,Hcong,b,ribbitR.wav,2.0,49.0,210.0,36.0,b,0.9674272271080001,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
34,frog,frogFront.png,duckFront.png,landoltCR.png,landoltCTop.png,Hcong,h,ribbitL.wav,2.0,51.0,212.0,56.0,h,0.650786854909,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
35,frog,duckFront.png,frogFront.png,landoltCTop.png,landoltCL.png,Hcong,h,ribbitR.wav,2.0,52.0,213.0,28.0,h,0.650540894028,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
36,frog,frogFront.png,duckFront.png,landoltCL.png,landoltCBottom.png,Hcong,b,ribbitL.wav,2.0,57.0,218.0,64.0,b,0.617166823795,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
37,frog,frogFront.png,duckFront.png,landoltCL.png,landoltCBottom.png,Hcong,b,ribbitL.wav,2.0,58.0,219.0,48.0,b,0.617438443805,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
38,frog,frogFront.png,duckFront.png,landoltCR.png,landoltCTop.png,Hcong,h,ribbitL.wav,2.0,74.0,235.0,72.0,h,0.717348050413,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
39,frog,frogFront.png,duckFront.png,landoltCR.png,landoltCTop.png,Hcong,h,ribbitL.wav,2.0,76.0,237.0,24.0,h,0.750662738137,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
40,frog,frogFront.png,duckFront.png,landoltCR.png,landoltCTop.png,Hcong,h,ribbitL.wav,2.0,77.0,238.0,40.0,h,0.584225292841,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
41,frog,duckFront.png,frogFront.png,landoltCBottom.png,landoltCL.png,Hcong,b,ribbitR.wav,3.0,0.0,241.0,36.0,b,0.6505427268280001,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
42,frog,duckFront.png,frogFront.png,landoltCTop.png,landoltCL.png,Hcong,h,ribbitR.wav,3.0,9.0,250.0,28.0,h,0.717197761347,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
43,frog,duckFront.png,frogFront.png,landoltCTop.png,landoltCL.png,Hcong,h,ribbitR.wav,3.0,16.0,257.0,76.0,h,0.634175880725,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
44,frog,duckFront.png,frogFront.png,landoltCTop.png,landoltCL.png,Hcong,h,ribbitR.wav,3.0,18.0,259.0,60.0,h,0.667374002776,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
45,frog,frogFront.png,duckFront.png,landoltCL.png,landoltCBottom.png,Hcong,b,ribbitL.wav,3.0,26.0,267.0,48.0,b,0.70023379114,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
46,frog,frogFront.png,duckFront.png,landoltCR.png,landoltCTop.png,Hcong,h,ribbitL.wav,3.0,35.0,276.0,72.0,h,0.784350949179,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
47,frog,duckFront.png,frogFront.png,landoltCBottom.png,landoltCL.png,Hcong,b,ribbitR.wav,3.0,40.0,281.0,68.0,b,0.750808628509,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
48,frog,frogFront.png,duckFront.png,landoltCL.png,landoltCBottom.png,Hcong,b,ribbitL.wav,3.0,45.0,286.0,32.0,b,0.800856354443,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
49,frog,duckFront.png,frogFront.png,landoltCTop.png,landoltCL.png,Hcong,h,ribbitR.wav,3.0,47.0,288.0,44.0,h,0.5840258849059999,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
50,frog,duckFront.png,frogFront.png,landoltCBottom.png,landoltCL.png,Hcong,b,ribbitR.wav,3.0,54.0,295.0,52.0,b,0.951016027408,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
51,frog,duckFront.png,frogFront.png,landoltCBottom.png,landoltCL.png,Hcong,b,ribbitR.wav,3.0,55.0,296.0,20.0,b,0.55076398165,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
52,frog,frogFront.png,duckFront.png,landoltCL.png,landoltCBottom.png,Hcong,b,ribbitL.wav,3.0,61.0,302.0,64.0,b,0.6210277866189999,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
53,frog,frogFront.png,duckFront.png,landoltCR.png,landoltCTop.png,Hcong,h,ribbitL.wav,3.0,70.0,311.0,40.0,h,0.667508163257,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
54,frog,frogFront.png,duckFront.png,landoltCL.png,landoltCBottom.png,Hcong,b,ribbitL.wav,3.0,72.0,313.0,16.0,b,0.650457685188,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
55,frog,frogFront.png,duckFront.png,landoltCR.png,landoltCTop.png,Hcong,h,ribbitL.wav,3.0,73.0,314.0,24.0,h,0.5672836827000001,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
56,frog,frogFront.png,duckFront.png,landoltCR.png,landoltCTop.png,Hcong,h,ribbitL.wav,3.0,78.0,319.0,56.0,h,0.417364472261,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
57,frog,frogFront.png,duckFront.png,landoltCL.png,landoltCBottom.png,Hcong,b,ribbitL.wav,4.0,5.0,326.0,48.0,b,0.650786854909,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
58,frog,duckFront.png,frogFront.png,landoltCBottom.png,landoltCL.png,Hcong,b,ribbitR.wav,4.0,6.0,327.0,68.0,b,0.617031563641,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
59,frog,frogFront.png,duckFront.png,landoltCL.png,landoltCBottom.png,Hcong,b,ribbitL.wav,4.0,7.0,328.0,32.0,b,0.650396836456,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
60,frog,frogFront.png,duckFront.png,landoltCL.png,landoltCBottom.png,Hcong,b,ribbitL.wav,4.0,10.0,331.0,64.0,b,0.6004183901100001,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
61,frog,frogFront.png,duckFront.png,landoltCR.png,landoltCTop.png,Hcong,h,ribbitL.wav,4.0,13.0,334.0,24.0,h,0.750704892387,2020_Feb_26_0910,59.9527072484,duckFrog,2,True
